,Binary_Class,Search Date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake,toilet paper,stimulus,vaccines near me,vaccine side effects,how to get my taste back,anti-depressant,mental health,can dogs get covid,doritos locos tacos,best hikes near me,tiktok,jeff bezos net worth,what is ivermectin,what is mrna,bill gates population control,ubereats,instacart jobs,gig economy,stimmy,trump,biden,china,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
0,High,2022-02-13,39.0,73.0,27.0,29.0,50.0,11.0,82.0,27.0,7.0,0.0,10.0,41.0,42.0,6.0,61.0,18.0,2.0,21.0,35.0,7.0,50.0,1.0,25.0,74.0,6.0,11.0,48.0,17.0,64.0,29.0,26.0,80.0,16.0,60.0,56.0,19.0,24.0,44.0,50.0,20.0,58.0,57.0,66.0,42.0,6.0,1.0,18.0,39.0,1.0,1.0,5.0,4.0,11.0,0.0,38.0,12.0,2.0,37.0,14.0,8.0,10.0,15.0,12.0,65.0,12.0,5.0,1.0,2.0,2.0,26.0,548792878.0,144101.0,82055.86,162754.0
1,High,2022-02-12,33.0,76.0,28.0,29.0,48.0,12.0,68.0,27.0,7.0,6.0,5.0,19.0,49.0,6.0,33.0,19.0,2.0,50.0,32.0,8.0,71.0,2.0,26.0,83.0,7.0,12.0,42.0,19.0,80.0,29.0,25.0,55.0,19.0,65.0,55.0,10.0,15.0,40.0,62.0,24.0,64.0,53.0,58.0,38.0,7.0,1.0,24.0,41.0,1.0,1.0,12.0,7.0,12.0,0.0,37.0,8.0,6.0,39.0,14.0,6.0,4.0,16.0,0.0,50.0,8.0,2.0,0.0,2.0,3.0,27.0,548648777.0,327557.0,85521.43,182400.0
2,Low,2022-02-11,46.0,86.0,47.0,27.0,60.0,11.0,70.0,26.0,7.0,0.0,9.0,62.0,61.0,7.0,53.0,19.0,2.0,26.0,30.0,15.0,64.0,3.0,29.0,74.0,11.0,11.0,47.0,25.0,76.0,26.0,23.0,48.0,18.0,68.0,60.0,9.0,13.0,49.0,49.0,20.0,67.0,49.0,61.0,43.0,8.0,1.0,26.0,47.0,1.0,1.0,9.0,5.0,11.0,22.0,61.0,11.0,7.0,5.0,12.0,5.0,18.0,44.0,0.0,55.0,18.0,4.0,0.0,2.0,4.0,26.0,548321220.0,582026.0,89003.0,199407.0
3,Low,2022-02-10,40.0,86.0,38.0,27.0,68.0,13.0,72.0,26.0,7.0,0.0,9.0,43.0,83.0,8.0,59.0,27.0,3.0,44.0,29.0,17.0,45.0,4.0,31.0,74.0,11.0,11.0,61.0,18.0,70.0,28.0,25.0,45.0,17.0,64.0,61.0,20.0,31.0,46.0,51.0,17.0,74.0,52.0,70.0,50.0,9.0,1.0,24.0,43.0,1.0,1.0,6.0,6.0,16.0,43.0,68.0,11.0,3.0,34.0,12.0,4.0,20.0,34.0,11.0,45.0,8.0,2.0,0.0,2.0,5.0,28.0,547739194.0,473174.0,92676.86,197247.0
4,Low,2022-02-09,44.0,88.0,41.0,23.0,68.0,13.0,62.0,26.0,8.0,5.0,0.0,43.0,100.0,6.0,66.0,47.0,3.0,37.0,25.0,19.0,46.0,3.0,31.0,88.0,12.0,13.0,50.0,18.0,60.0,28.0,24.0,45.0,19.0,67.0,67.0,22.0,33.0,45.0,59.0,17.0,44.0,60.0,72.0,50.0,14.0,1.0,22.0,42.0,1.0,1.0,9.0,7.0,16.0,64.0,77.0,14.0,1.0,15.0,12.0,8.0,21.0,44.0,5.0,33.0,17.0,3.0,0.0,2.0,7.0,27.0,547266020.0,478132.0,97626.0,194573.0
5,High,2022-02-08,39.0,96.0,25.0,32.0,74.0,12.0,70.0,28.0,7.0,5.0,9.0,71.0,80.0,9.0,42.0,60.0,3.0,38.0,29.0,17.0,41.0,3.0,31.0,93.0,12.0,14.0,53.0,22.0,62.0,28.0,25.0,45.0,15.0,67.0,67.0,22.0,22.0,46.0,59.0,17.0,50.0,63.0,78.0,48.0,11.0,1.0,21.0,43.0,1.0,1.0,10.0,5.0,6.0,0.0,73.0,10.0,2.0,5.0,12.0,7.0,6.0,38.0,0.0,43.0,30.0,3.0,0.0,2.0,3.0,34.0,546787888.0,471048.0,101406.57,182198.0
6,High,2022-02-07,39.0,92.0,32.0,23.0,73.0,12.0,67.0,26.0,7.0,5.0,0.0,44.0,45.0,6.0,86.0,29.0,3.0,32.0,28.0,18.0,42.0,4.0,28.0,68.0,11.0,15.0,43.0,18.0,58.0,27.0,32.0,49.0,14.0,67.0,67.0,23.0,28.0,47.0,61.0,18.0,57.0,59.0,78.0,50.0,9.0,1.0,22.0,43.0,1.0,1.0,7.0,5.0,6.0,22.0,69.0,17.0,5.0,5.0,13.0,8.0,9.0,36.0,11.0,47.0,26.0,7.0,1.0,2.0,2.0,33.0,546316840.0,456914.0,105178.43,170108.0
7,High,2022-02-06,34.0,76.0,51.0,32.0,56.0,14.0,86.0,28.0,6.0,11.0,5.0,15.0,23.0,4.0,53.0,22.0,3.0,7.0,36.0,10.0,74.0,4.0,23.0,70.0,6.0,16.0,58.0,13.0,63.0,26.0,27.0,47.0,16.0,67.0,66.0,20.0,22.0,46.0,66.0,16.0,52.0,55.0,73.0,48.0,9.0,1.0,22.0,46.0,1.0,1.0,6.0,5.0,12.0,0.0,46.0,12.0,6.0,60.0,15.0,8.0,22.0,11.0,0.0,54.0,14.0,2.0,0.0,2.0,1.0,34.0,545859926.0,204240.0,108951.71,160883.0
8,High,2022-02-05,38.0,75.0,39.0,36.0,57.0,11.0,72.0,26.0,7.0,6.0,0.0,64.0,20.0,6.0,42.0,25.0,3.0,14.0,35.0,11.0,64.0,2.0,27.0,69.0,7.0,14.0,59.0,21.0,79.0,28.0,25.0,56.0,22.0,67.0,59.0,13.0,15.0,43.0,60.0,16.0,77.0,54.0,61.0,43.0,11.0,1.0,30.0,47.0,1.0,1.0,6.0,6.0,6.0,0.0,41.0,20.0,4.0,22.0,15.0,13.0,22.0,19.0,0.0,57.0,10.0,3.0,0.0,2.0,2.0,50.0,545655686.0,417641.0,112626.29,159841.0
9,High,2022-02-04,30.0,80.0,42.0,24.0,63.0,12.0,61.0,26.0,7.0,10.0,4.0,61.0,21.0,8.0,45.0,20.0,3.0,38.0,30.0,13.0,52.0,4.0,24.0,65.0,11.0,14.0,53.0,36.0,71.0,31.0,26.0,51.0,21.0,65.0,58.0,10.0,18.0,46.0,77.0,19.0,86.0,51.0,63.0,43.0,11.0,1.0,27.0,47.0,1.0,2.0,6.0,7.0,31.0,43.0,60.0,16.0,2.0,15.0,14.0,11.0,11.0,33.0,5.0,50.0,22.0,5.0,0.0,2.0,2.0,37.0,545238045.0,621107.0,116146.86,155219.0
