,Unnamed: 0,Date,Multi_Class,Search Date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake,toilet paper,stimulus,vaccines near me,vaccine side effects,how to get my taste back,anti-depressant,mental health,can dogs get covid,doritos locos tacos,best hikes near me,tiktok,jeff bezos net worth,what is ivermectin,what is mrna,bill gates population control,ubereats,instacart jobs,gig economy,stimmy,trump,biden,china,Current Hospitalized COVID-19 Patients,Total Doses Administered,Daily Increase,Number of Flights,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,AZN_Open,AZN_Close,AZN_Difference,AZN_Volume, NVAX_Open , NVAX_Close ,NVAX_Difference,NVAX_Volume
0,0,2022-02-23,1699-5000,2022-02-13,39,73,27,29,50,11,82,27,7,0,10,41,42,6,61,18,2,21,35,7,50,1,25,74,6,11.0,48.0,17.0,64.0,29.0,26.0,80.0,16.0,60.0,56.0,19.0,24.0,44.0,50.0,20.0,58.0,57.0,66.0,42.0,6.0,1.0,18.0,39.0,1,1,5,4,11,0,38,12,2,37,14,8,10,15,12,65,12,5,1,2,2,26,82055.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2022-02-22,1699-5000,2022-02-12,33,76,28,29,48,12,68,27,7,6,5,19,49,6,33,19,2,50,32,8,71,2,26,83,7,12.0,42.0,19.0,80.0,29.0,25.0,55.0,19.0,65.0,55.0,10.0,15.0,40.0,62.0,24.0,64.0,53.0,58.0,38.0,7.0,1.0,24.0,41.0,1,1,12,7,12,0,37,8,6,39,14,6,4,16,0,50,8,2,0,2,3,27,85521.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2022-02-21,550-1698,2022-02-11,46,86,47,27,60,11,70,26,7,0,9,62,61,7,53,19,2,26,30,15,64,3,29,74,11,11.0,47.0,25.0,76.0,26.0,23.0,48.0,18.0,68.0,60.0,9.0,13.0,49.0,49.0,20.0,67.0,49.0,61.0,43.0,8.0,1.0,26.0,47.0,1,1,9,5,11,22,61,11,7,5,12,5,18,44,0,55,18,4,0,2,4,26,89003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,2022-02-20,0-549,2022-02-10,40,86,38,27,68,13,72,26,7,0,9,43,83,8,59,27,3,44,29,17,45,4,31,74,11,11.0,61.0,18.0,70.0,28.0,25.0,45.0,17.0,64.0,61.0,20.0,31.0,46.0,51.0,17.0,74.0,52.0,70.0,50.0,9.0,1.0,24.0,43.0,1,1,6,6,16,43,68,11,3,34,12,4,20,34,11,45,8,2,0,2,5,28,92676.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,2022-02-19,0-549,2022-02-09,44,88,41,23,68,13,62,26,8,5,0,43,100,6,66,47,3,37,25,19,46,3,31,88,12,13.0,50.0,18.0,60.0,28.0,24.0,45.0,19.0,67.0,67.0,22.0,33.0,45.0,59.0,17.0,44.0,60.0,72.0,50.0,14.0,1.0,22.0,42.0,1,1,9,7,16,64,77,14,1,15,12,8,21,44,5,33,17,3,0,2,7,27,97626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,2022-02-18,1699-5000,2022-02-08,39,96,25,32,74,12,70,28,7,5,9,71,80,9,42,60,3,38,29,17,41,3,31,93,12,14.0,53.0,22.0,62.0,28.0,25.0,45.0,15.0,67.0,67.0,22.0,22.0,46.0,59.0,17.0,50.0,63.0,78.0,48.0,11.0,1.0,21.0,43.0,1,1,10,5,6,0,73,10,2,5,12,7,6,38,0,43,30,3,0,2,3,34,101406.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,2022-02-17,1699-5000,2022-02-07,39,92,32,23,73,12,67,26,7,5,0,44,45,6,86,29,3,32,28,18,42,4,28,68,11,15.0,43.0,18.0,58.0,27.0,32.0,49.0,14.0,67.0,67.0,23.0,28.0,47.0,61.0,18.0,57.0,59.0,78.0,50.0,9.0,1.0,22.0,43.0,1,1,7,5,6,22,69,17,5,5,13,8,9,36,11,47,26,7,1,2,2,33,105178.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,2022-02-16,1699-5000,2022-02-06,34,76,51,32,56,14,86,28,6,11,5,15,23,4,53,22,3,7,36,10,74,4,23,70,6,16.0,58.0,13.0,63.0,26.0,27.0,47.0,16.0,67.0,66.0,20.0,22.0,46.0,66.0,16.0,52.0,55.0,73.0,48.0,9.0,1.0,22.0,46.0,1,1,6,5,12,0,46,12,6,60,15,8,22,11,0,54,14,2,0,2,1,34,108951.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,2022-02-15,1699-5000,2022-02-05,38,75,39,36,57,11,72,26,7,6,0,64,20,6,42,25,3,14,35,11,64,2,27,69,7,14.0,59.0,21.0,79.0,28.0,25.0,56.0,22.0,67.0,59.0,13.0,15.0,43.0,60.0,16.0,77.0,54.0,61.0,43.0,11.0,1.0,30.0,47.0,1,1,6,6,6,0,41,20,4,22,15,13,22,19,0,57,10,3,0,2,2,50,112626.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,2022-02-14,1699-5000,2022-02-04,30,80,42,24,63,12,61,26,7,10,4,61,21,8,45,20,3,38,30,13,52,4,24,65,11,14.0,53.0,36.0,71.0,31.0,26.0,51.0,21.0,65.0,58.0,10.0,18.0,46.0,77.0,19.0,86.0,51.0,63.0,43.0,11.0,1.0,27.0,47.0,1,2,6,7,31,43,60,16,2,15,14,11,11,33,5,50,22,5,0,2,2,37,116146.86,,,,157.53,142.47,15.06,16669500.0,167.71,165.6,2.11,8967600.0,163.67,154.53,9.14,3229500.0,"34,694.50","34,566.17",128.33,"370,320,000",49.82,49.8,0.02,42973100.0,57.3,57.54,-0.24,6534700.0,86.91,80.11,6.8,5065500.0
