,Multi_Class,Search Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
0,1699-5000,2022-02-13,,,,,,,,,,,,,,,,,,,,,,,,
1,1699-5000,2022-02-12,,,,,,,,,,,,,,,,,,,,,,,,
2,550-1698,2022-02-11,161.25,161.32,-0.07,5245700.0,169.12,167.71,1.41,13124800.0,167.93,170.95,-3.02,1439200.0,"35,267.89","34,738.06",529.83,"398,860,000",50.33,50.78,-0.45,34970000.0,548321220.0,582026.0,89003.0,199407.0
3,0-549,2022-02-10,158.0,160.42,-2.42,5965400.0,171.21,169.42,1.79,10355300.0,165.04,167.54,-2.5,1205500.0,"35,630.81","35,241.59",389.22,"411,620,000",51.04,50.6,0.44,34200600.0,547739194.0,473174.0,92676.86,197247.0
4,0-549,2022-02-09,154.37,164.03,-9.66,5621600.0,172.07,171.49,0.58,5387500.0,162.9,173.33,-10.43,1874500.0,"35,614.90","35,768.06",-153.16,"333,610,000",51.64,51.47,0.17,38522200.0,547266020.0,478132.0,97626.0,194573.0
5,1699-5000,2022-02-08,155.2,153.31,1.89,7616400.0,171.02,171.51,-0.49,6296100.0,162.35,159.6,2.75,3091900.0,"35,160.68","35,462.78",-302.1,"319,190,000",50.64,51.7,-1.06,67922000.0,546787888.0,471048.0,101406.57,182198.0
6,1699-5000,2022-02-07,162.2,160.27,1.93,4429300.0,171.41,171.06,0.35,6065700.0,175.59,172.81,2.78,1494100.0,"35,108.38","35,091.13",17.25,"328,910,000",53.3,53.21,0.09,32358500.0,546316840.0,456914.0,105178.43,170108.0
7,1699-5000,2022-02-06,,,,,,,,,,,,,,,,,,,,,,,,
8,1699-5000,2022-02-05,,,,,,,,,,,,,,,,,,,,,,,,
9,1699-5000,2022-02-04,165.64,163.01,2.63,4369900.0,171.0,171.63,-0.63,6391900.0,175.77,176.57,-0.8,880300.0,"35,095.74","35,089.74",6,"349,880,000",53.02,53.0,0.02,24925900.0,545238045.0,621107.0,116146.86,155219.0
