Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,AZN_Open,AZN_Close,AZN_Difference,AZN_Volume, NVAX_Open , NVAX_Close ,NVAX_Difference,NVAX_Volume
12/2/2019,20.3,19.76,0.54,1184000,137.72,137.36,0.36,4717100,22.66,21.87,0.79,106500,"28,109.74","27,783.04",326.7,"236,610,000",36.8,36.33,0.47,15645998,48.67,48.38,0.29,8550200,5.14,5.22,-0.08,4553500
12/3/2019,19.48,21.28,-1.8,1795200,136.91,137.16,-0.25,5741400,22.05,20.77,1.28,88400,"27,501.98","27,502.81",-0.83,"275,350,000",36.02,36.1,-0.09,20869832,47.54,47.89,-0.35,3058500,5.12,4.77,0.35,2263500
12/4/2019,21,21.27,-0.27,1980100,138.5,139.38,-0.88,7257300,21.49,21.37,0.12,146500,"27,634.63","27,649.78",-15.15,"218,200,000",36.27,36.19,0.09,14501248,47.71,48.2,-0.49,4901000,4.81,4.88,-0.07,1113400
12/5/2019,21.49,20.64,0.85,1478100,139.35,139.56,-0.21,5472900,21.75,22.49,-0.74,129900,"27,736.05","27,677.79",58.26,"208,600,000",36.4,36.08,0.32,13098058,48.07,47.62,0.45,2302400,4.92,4.55,0.37,1288000
12/6/2019,20.78,18.94,1.84,3537200,139.46,140.38,-0.92,6640400,22.85,24.37,-1.52,251500,"27,839.68","28,015.06",-175.38,"223,310,000",36.32,36.33,-0.01,12868708,47.73,47.68,0.05,2477400,4.62,4.35,0.27,1326700
12/9/2019,19.07,18.78,0.29,2814000,140.39,140.5,-0.11,4241000,25,29,-4,393900,"27,987.05","27,909.60",77.45,"217,000,000",36.15,36.36,-0.21,15641571,47.62,47.77,-0.15,4628100,4.35,4.16,0.19,1077400
12/10/2019,18.78,18.87,-0.09,1619800,140.8,139.99,0.81,5310300,29,28,1,180200,"27,900.65","27,881.72",18.93,"213,250,000",36.31,36.51,-0.2,19171311,47.47,47.98,-0.51,3441400,4.17,4.17,0,1294300
12/11/2019,19.03,18.65,0.38,1233100,140.93,140.98,-0.05,6631500,28.7,31.3,-2.6,205200,"27,867.31","27,911.30",-43.99,"213,510,000",36.4,36.26,0.14,15569372,48.08,48.19,-0.11,3233500,4.14,4.09,0.05,838100
12/12/2019,18.56,18.45,0.11,1313400,141.32,141.34,-0.02,5012400,32.7,29.84,2.86,380900,"27,898.34","28,132.05",-233.71,"277,740,000",36.21,36.57,-0.35,13414469,48.05,47.92,0.13,1930000,4.13,3.99,0.14,1096300
12/13/2019,18.47,18.62,-0.15,1302400,141.1,141.38,-0.28,4257200,32.15,32.45,-0.3,232700,"28,123.64","28,135.38",-11.74,"250,660,000",36.55,36.37,0.18,16678496,48.38,48.36,0.02,1825400,4.05,4.03,0.02,1365700
12/16/2019,18.6,18.52,0.08,1785500,141.73,141.79,-0.06,5353100,38.44,35,3.44,622900,"28,191.67","28,235.89",-44.22,"286,770,000",36.72,37.13,-0.42,24187824,49.48,49.31,0.17,3149800,4.02,4,0.02,1089200
12/17/2019,18.54,18.44,0.1,1647800,143,143.56,-0.56,10722400,36.51,36.91,-0.4,261600,"28,221.75","28,267.16",-45.41,"286,770,000",37.42,36.91,0.51,29038016,49.05,48.97,0.08,1405000,3.95,3.99,-0.04,884100
12/18/2019,18.48,18.64,-0.16,1277700,143.72,143.19,0.53,7849200,35.48,35,0.48,146500,"28,291.44","28,239.28",52.16,"289,890,000",37.01,36.9,0.11,27339390,48.97,49.24,-0.27,3365900,4,3.96,0.04,524400
