Date,Number of Flights
2022-02-13,162754
2022-02-12,182400
2022-02-11,199407
2022-02-10,197247
2022-02-09,194573
2022-02-08,182198
2022-02-07,170108
2022-02-06,160883
2022-02-05,159841
2022-02-04,155219
2022-02-03,149649
2022-02-02,152315
2022-02-01,163738
2022-01-31,168218
2022-01-30,164940
2022-01-29,153674
2022-01-28,180749
2022-01-27,184883
2022-01-26,175538
2022-01-25,165606
2022-01-24,168443
2022-01-23,158033
2022-01-22,156639
2022-01-21,178918
2022-01-20,169055
2022-01-19,169845
2022-01-18,166452
2022-01-17,155855
2022-01-16,144571
2022-01-15,152297
2022-01-14,180672
2022-01-13,185403
2022-01-12,181070
2022-01-11,170750
2022-01-10,163573
2022-01-09,148810
2022-01-08,156230
2022-01-07,167800
2022-01-06,168443
2022-01-05,164358
2022-01-04,168913
2022-01-03,161499
2022-01-02,143753
2022-01-01,112178
2021-12-31,139359
2021-12-30,151570
2021-12-29,151841
2021-12-28,152950
2021-12-27,153431
2021-12-26,144223
2021-12-25,101855
2021-12-24,136927
2021-12-23,179535
2021-12-22,187959
2021-12-21,183361
2021-12-20,183377
2021-12-19,158172
2021-12-18,155572
2021-12-17,192674
2021-12-16,185062
2021-12-15,177308
2021-12-14,179521
2021-12-13,184119
2021-12-12,165742
2021-12-11,148890
2021-12-10,181222
2021-12-09,185353
2021-12-08,178912
2021-12-07,177255
2021-12-06,158922
2021-12-05,158307
2021-12-04,167276
2021-12-03,195817
2021-12-02,194370
2021-12-01,190620
2021-11-30,188234
2021-11-29,187450
2021-11-28,173486
2021-11-27,157361
2021-11-26,157889
2021-11-25,145133
2021-11-24,191905
2021-11-23,195774
2021-11-22,179359
2021-11-21,161891
2021-11-20,179349
2021-11-19,195824
2021-11-18,188759
2021-11-17,191023
2021-11-16,185253
2021-11-15,177433
2021-11-14,162015
2021-11-13,160968
2021-11-12,178163
2021-11-11,181627
2021-11-10,191570
2021-11-09,195032
2021-11-08,189867
2021-11-07,172931
2021-11-06,175254
2021-11-05,199895
2021-11-04,191750
2021-11-03,190691
2021-11-02,184594
2021-11-01,181244
2021-10-31,167884
2021-10-30,168544
2021-10-29,187891
2021-10-28,190271
2021-10-27,192384
2021-10-26,182511
2021-10-25,174705
2021-10-24,180356
2021-10-23,187268
2021-10-22,203026
2021-10-21,198769
2021-10-20,202587
2021-10-19,198885
2021-10-18,192376
2021-10-17,187608
2021-10-16,188496
2021-10-15,207998
2021-10-14,202454
2021-10-13,191916
2021-10-12,181111
2021-10-11,181367
2021-10-10,180304
2021-10-09,187490
2021-10-08,201562
2021-10-07,198249
2021-10-06,189058
2021-10-05,181512
2021-10-04,177405
2021-10-03,167786
2021-10-02,179746
2021-10-01,206736
2021-09-30,202142
2021-09-29,199333
2021-09-28,191995
2021-09-27,189203
2021-09-26,188240
2021-09-25,200115
2021-09-24,213051
2021-09-23,203683
2021-09-22,192614
2021-09-21,186013
2021-09-20,181426
2021-09-19,182725
2021-09-18,189531
2021-09-17,201714
2021-09-16,196745
2021-09-15,192059
2021-09-14,189798
2021-09-13,187778
2021-09-12,191561
2021-09-11,196346
2021-09-10,212065
2021-09-09,200803
2021-09-08,201902
2021-09-07,194582
2021-09-06,189465
2021-09-05,183209
2021-09-04,197968
2021-09-03,214456
2021-09-02,205527
2021-09-01,191682
2021-08-31,187106
2021-08-30,178728
2021-08-29,169344
2021-08-28,180837
2021-08-27,198046
2021-08-26,199960
2021-08-25,205153
2021-08-24,196146
2021-08-23,183638
2021-08-22,166812
2021-08-21,190712
2021-08-20,204264
2021-08-19,194967
2021-08-18,185163
2021-08-17,178096
2021-08-16,178550
2021-08-15,184303
2021-08-14,193733
2021-08-13,206789
2021-08-12,209209
2021-08-11,205304
2021-08-10,193777
2021-08-09,185334
2021-08-08,171464
2021-08-07,176000
2021-08-06,202733
2021-08-05,203066
2021-08-04,203342
2021-08-03,197662
2021-08-02,193672
2021-08-01,171745
2021-07-31,193508
2021-07-30,210937
2021-07-29,211471
2021-07-28,205149
2021-07-27,200734
2021-07-26,190610
2021-07-25,177267
2021-07-24,194582
2021-07-23,224866
2021-07-22,228148
2021-07-21,204830
2021-07-20,201534
2021-07-19,197066
2021-07-18,192934
2021-07-17,192326
2021-07-16,210714
2021-07-15,213060
2021-07-14,200326
2021-07-13,189203
2021-07-12,183675
2021-07-11,178482
2021-07-10,199811
2021-07-09,203345
2021-07-08,195658
2021-07-07,192965
2021-07-06,185900
2021-07-05,186289
2021-07-04,161074
2021-07-03,186617
2021-07-02,201098
2021-07-01,197140
2021-06-30,190842
2021-06-29,184606
2021-06-28,187672
2021-06-27,176272
2021-06-26,182506
2021-06-25,199871
2021-06-24,202776
2021-06-23,206593
2021-06-22,187439
2021-06-21,172849
2021-06-20,166954
2021-06-19,185229
2021-06-18,205220
2021-06-17,212713
2021-06-16,212155
2021-06-15,196213
2021-06-14,184338
2021-06-13,176956
2021-06-12,188526
2021-06-11,199281
2021-06-10,197849
2021-06-09,191080
2021-06-08,179493
2021-06-07,169791
2021-06-06,164914
2021-06-05,174578
2021-06-04,189557
2021-06-03,185129
2021-06-02,191584
2021-06-01,187815
2021-05-31,176589
2021-05-30,168483
2021-05-29,172975
2021-05-28,189183
2021-05-27,195212
2021-05-26,182857
2021-05-25,173180
2021-05-24,170768
2021-05-23,157861
2021-05-22,158469
2021-05-21,177004
2021-05-20,182353
2021-05-19,173043
2021-05-18,164180
2021-05-17,159629
2021-05-16,149581
2021-05-15,159570
2021-05-14,190421
2021-05-13,184438
2021-05-12,174834
2021-05-11,162743
2021-05-10,156634
2021-05-09,145072
2021-05-08,166994
2021-05-07,184547
2021-05-06,182929
2021-05-05,169353
2021-05-04,153095
2021-05-03,152421
2021-05-02,150416
2021-05-01,159810
2021-04-30,175078
2021-04-29,171083
2021-04-28,176920
2021-04-27,179068
2021-04-26,170021
2021-04-25,160678
2021-04-24,166015
2021-04-23,183579
2021-04-22,180679
2021-04-21,168365
2021-04-20,170437
2021-04-19,165302
2021-04-18,167844
2021-04-17,167948
2021-04-16,180432
2021-04-15,172740
2021-04-14,177016
2021-04-13,179478
2021-04-12,166506
2021-04-11,149245
2021-04-10,153380
2021-04-09,178215
2021-04-08,180709
2021-04-07,177014
2021-04-06,172394
2021-04-05,165847
2021-04-04,149094
2021-04-03,169504
2021-04-02,180854
2021-04-01,181410
2021-03-31,177350
2021-03-30,178798
2021-03-29,166983
2021-03-28,146815
2021-03-27,160125
2021-03-26,175694
2021-03-25,165585
2021-03-24,166628
2021-03-23,162645
2021-03-22,159927
2021-03-21,154106
2021-03-20,167770
