,Unnamed: 0,Date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake,toilet paper,stimulus,vaccines near me,vaccine side effects,how to get my taste back,anti-depressant,mental health,can dogs get covid,doritos locos tacos,best hikes near me,tiktok,jeff bezos net worth,what is ivermectin,what is mrna,bill gates population control,ubereats,instacart jobs,gig economy,stimmy,trump,biden,china,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
0,0,2019-12-01,46,66,38,20,62,17,55,31,19,0,0,13,0,14,55,29,0,0,31,3,53,2,35,70,2,0.0,51.0,19.0,72.0,27.0,31.0,39.0,14.0,74.0,71.0,18.0,30.0,48.0,41.0,7.0,61.0,50.0,68.0,42.0,1.0,0.0,15.0,35.0,2,0,1,1,0,0,32,0,2,5,4,10,1,4,5,52,4,2,0,6,1,22,,,,
1,1,2019-12-02,46,77,32,20,79,14,55,30,21,0,11,21,0,17,61,33,0,10,26,4,45,5,49,75,4,0.0,48.0,7.0,69.0,26.0,28.0,39.0,14.0,75.0,71.0,21.0,34.0,47.0,41.0,7.0,81.0,57.0,72.0,44.0,1.0,0.0,15.0,34.0,1,0,3,1,4,0,56,0,0,4,3,10,1,21,0,43,9,9,0,6,1,22,,,,
2,2,2019-12-03,36,80,41,16,83,16,61,30,22,4,0,39,0,24,75,52,0,5,28,5,34,5,49,85,4,0.0,54.0,15.0,62.0,28.0,25.0,40.0,15.0,74.0,69.0,23.0,38.0,46.0,40.0,8.0,72.0,53.0,77.0,48.0,1.0,0.0,16.0,35.0,1,0,1,1,0,37,64,0,0,0,3,11,0,30,0,51,11,10,0,7,1,23,,,,
3,3,2019-12-04,44,87,72,16,89,15,66,32,21,8,7,34,0,24,82,75,0,5,31,6,37,3,52,85,4,0.0,46.0,8.0,62.0,30.0,26.0,41.0,16.0,75.0,66.0,27.0,41.0,45.0,42.0,9.0,69.0,61.0,77.0,49.0,1.0,0.0,15.0,35.0,1,0,2,2,4,37,66,0,2,4,3,9,1,23,0,53,11,10,0,10,1,24,,,,
4,4,2019-12-05,54,80,49,22,92,14,68,29,23,0,4,23,0,25,85,79,0,16,28,4,47,5,55,87,4,0.0,46.0,27.0,69.0,28.0,25.0,40.0,15.0,70.0,67.0,26.0,29.0,46.0,42.0,8.0,70.0,56.0,71.0,45.0,1.0,0.0,15.0,36.0,1,0,3,2,4,38,63,0,3,12,3,10,0,43,5,46,10,7,0,11,2,23,,,,
5,5,2019-12-06,46,76,25,19,82,12,60,29,19,0,0,37,0,20,46,68,0,16,31,4,25,4,49,83,3,0.0,44.0,29.0,75.0,27.0,22.0,41.0,17.0,63.0,63.0,10.0,14.0,46.0,31.0,9.0,74.0,47.0,61.0,34.0,1.0,0.0,18.0,37.0,1,0,5,2,0,0,53,0,3,4,3,10,1,22,0,43,10,13,0,9,2,25,,,,
6,6,2019-12-07,36,64,18,26,58,14,56,33,21,0,0,27,0,18,61,100,0,0,34,3,34,2,38,90,4,0.0,52.0,38.0,91.0,29.0,23.0,52.0,20.0,67.0,59.0,12.0,17.0,41.0,37.0,9.0,74.0,50.0,58.0,34.0,1.0,0.0,18.0,33.0,1,0,2,1,0,22,35,0,2,0,3,7,1,8,0,61,4,3,0,7,1,22,,,,
7,7,2019-12-08,41,65,25,25,59,13,57,31,21,5,4,10,0,15,51,95,0,6,38,2,50,3,35,94,3,0.0,66.0,15.0,69.0,23.0,25.0,46.0,16.0,71.0,62.0,22.0,34.0,47.0,52.0,7.0,72.0,53.0,70.0,41.0,1.0,0.0,16.0,34.0,1,0,4,2,0,22,35,0,3,10,4,7,0,7,0,52,7,9,0,7,1,22,,,,
8,8,2019-12-09,55,83,33,19,85,15,55,31,23,8,0,40,0,21,100,63,0,0,48,4,28,5,49,87,4,0.0,47.0,17.0,66.0,27.0,29.0,42.0,16.0,71.0,64.0,24.0,38.0,56.0,40.0,7.0,63.0,56.0,68.0,44.0,1.0,0.0,15.0,34.0,1,0,2,2,0,0,57,0,0,4,3,7,0,23,0,49,10,9,0,8,1,23,,,,
9,9,2019-12-10,38,79,47,19,86,16,60,33,24,4,4,26,0,22,67,49,0,11,35,3,38,5,52,86,4,0.0,39.0,15.0,66.0,26.0,29.0,41.0,16.0,72.0,69.0,23.0,41.0,55.0,53.0,7.0,79.0,53.0,77.0,46.0,0.0,0.0,15.0,33.0,1,0,2,2,0,0,57,0,3,5,3,8,1,29,5,40,16,14,0,10,1,23,,,,
