Date,Total Doses Administered,Daily Increase
2022-02-13,548792878,144101
2022-02-12,548648777,327557
2022-02-11,548321220,582026
2022-02-10,547739194,473174
2022-02-09,547266020,478132
2022-02-08,546787888,471048
2022-02-07,546316840,456914
2022-02-06,545859926,204240
2022-02-05,545655686,417641
2022-02-04,545238045,621107
2022-02-03,544616938,490815
2022-02-02,544126123,537816
2022-02-01,543588307,575091
2022-01-31,543013216,601694
2022-01-30,542411522,254772
2022-01-29,542156750,449149
2022-01-28,541707601,908902
2022-01-27,540798699,751105
2022-01-26,540047594,756284
2022-01-25,539291310,766098
2022-01-24,538525212,763266
2022-01-23,537761946,321536
2022-01-22,537440410,596156
2022-01-21,536844254,1033644
2022-01-20,535810610,896017
2022-01-19,534914593,941823
2022-01-18,533972770,963429
2022-01-17,533009341,803435
2022-01-16,532205906,380910
2022-01-15,531824996,765838
2022-01-14,531059158,1423160
2022-01-13,529635998,1247228
2022-01-12,528388770,1269908
2022-01-11,527118862,1271613
2022-01-10,525847249,1223275
2022-01-09,524623974,485993
2022-01-08,524137981,1020920
2022-01-07,523117061,1593219
2022-01-06,521523842,1420816
2022-01-05,520103026,1408832
2022-01-04,518694194,1380119
2022-01-03,517314075,1210295
2022-01-02,516103780,488237
2022-01-01,515615543,97563
2021-12-31,515517980,594978
2021-12-30,514923002,1494115
2021-12-29,513428887,1636399
2021-12-28,511792488,1654114
2021-12-27,510138374,1496644
2021-12-26,508641730,471835
2021-12-25,508169895,6030
2021-12-24,508163865,374505
2021-12-23,507789360,1431827
2021-12-22,506357533,1825824
2021-12-21,504531709,1931184
2021-12-20,502600525,1805638
2021-12-19,500794887,630766
2021-12-18,500164121,1103764
2021-12-17,499060357,1895951
2021-12-16,497164406,1655961
2021-12-15,495508445,1683600
2021-12-14,493824845,1684917
2021-12-13,492139928,1588822
2021-12-12,490551106,619977
2021-12-11,489931129,1235320
2021-12-10,488695809,2065678
2021-12-09,486630131,1887332
2021-12-08,484742799,1890977
2021-12-07,482851822,1877294
2021-12-06,480974528,1798658
2021-12-05,479175870,717766
2021-12-04,478458104,1458095
2021-12-03,477000009,2397193
2021-12-02,474602816,2126414
2021-12-01,472476402,2111163
2021-11-30,470365239,1894733
2021-11-29,468470506,1639157
2021-11-28,466831349,581027
2021-11-27,466250322,880842
2021-11-26,465369480,1190758
2021-11-25,464178722,25879
2021-11-24,464152843,1366786
2021-11-23,462786057,1768366
2021-11-22,461017691,1790655
2021-11-21,459227036,636763
2021-11-20,458590273,1220366
2021-11-19,457369907,2048985
2021-11-18,455320922,1765917
2021-11-17,453555005,1737867
2021-11-16,451817138,1661984
2021-11-15,450155154,1532187
2021-11-14,448622967,573962
2021-11-13,448049005,1163603
2021-11-12,446885402,1968752
2021-11-11,444916650,1583756
2021-11-10,443332894,1746128
2021-11-09,441586766,1618128
2021-11-08,439968638,1446289
2021-11-07,438522349,550161
2021-11-06,437972188,1024959
2021-11-05,436947229,1889094
2021-11-04,435058135,1616563
2021-11-03,433441572,1541204
2021-11-02,431900368,1484991
2021-11-01,430415377,1437902
2021-10-31,428977475,433637
2021-10-30,428543838,812556
2021-10-29,427731282,1766349
2021-10-28,425964933,1590398
2021-10-27,424374535,1604314
2021-10-26,422770221,1542661
2021-10-25,421227560,1510953
2021-10-24,419716607,469924
2021-10-23,419246683,822609
2021-10-22,418424074,1363086
2021-10-21,417060988,846632
2021-10-20,416214356,824579
2021-10-19,415389777,813020
2021-10-18,414576757,822874
2021-10-17,413753883,267816
2021-10-16,413486067,487623
2021-10-15,412998444,1039533
2021-10-14,411958911,901171
2021-10-13,411057740,893909
2021-10-12,410163831,916103
2021-10-11,409247728,847360
2021-10-10,408400368,311830
2021-10-09,408088538,532309
2021-10-08,407556229,1131807
2021-10-07,406424422,996439
2021-10-06,405427983,1019897
2021-10-05,404408086,1005063
2021-10-04,403403023,973235
2021-10-03,402429788,363889
2021-10-02,402065899,625173
2021-10-01,401440726,1290835
2021-09-30,400149891,1149180
2021-09-29,399000711,1128365
2021-09-28,397872346,1121550
2021-09-27,396750796,1020514
2021-09-26,395730282,406705
2021-09-25,395323577,668095
2021-09-24,394655482,977248
2021-09-23,393678234,670429
2021-09-22,393007805,660828
2021-09-21,392346977,671122
2021-09-20,391675855,684545
2021-09-19,390991310,303737
2021-09-18,390687573,519860
2021-09-17,390167713,898897
2021-09-16,389268816,756750
2021-09-15,388512066,758030
2021-09-14,387754036,746909
2021-09-13,387007127,778201
2021-09-12,386228926,349199
2021-09-11,385879727,595477
2021-09-10,385284250,1030602
2021-09-09,384253648,843846
2021-09-08,383409802,841861
2021-09-07,382567941,905838
2021-09-06,381662103,176296
2021-09-05,381485807,365855
2021-09-04,381119952,559574
2021-09-03,380560378,1038870
2021-09-02,379521508,892979
2021-09-01,378628529,929541
2021-08-31,377698988,925022
2021-08-30,376773966,923190
2021-08-29,375850776,429380
2021-08-28,375421396,710451
2021-08-27,374710945,1168155
2021-08-26,373542790,987874
2021-08-25,372554916,963793
2021-08-24,371591123,947684
2021-08-23,370643439,918429
2021-08-22,369725010,388419
2021-08-21,369336591,664458
2021-08-20,368672133,1105135
2021-08-19,367566998,943137
2021-08-18,366623861,950938
2021-08-17,365672923,921985
2021-08-16,364750938,868667
2021-08-15,363882271,398738
2021-08-14,363483533,624300
2021-08-13,362859233,946875
2021-08-12,361912358,801724
2021-08-11,361110634,767872
2021-08-10,360342762,798102
2021-08-09,359544660,781283
2021-08-08,358763377,349997
2021-08-07,358413380,557343
2021-08-06,357856037,906884
2021-08-05,356949153,791882
2021-08-04,356157271,777016
2021-08-03,355380255,761450
2021-08-02,354618805,718641
2021-08-01,353900164,325582
2021-07-31,353574582,514549
2021-07-30,353060033,834574
2021-07-29,352225459,719645
2021-07-28,351505814,719591
2021-07-27,350786223,700811
2021-07-26,350085412,643108
2021-07-25,349442304,259254
2021-07-24,349183050,463240
2021-07-23,348719810,747403
2021-07-22,347972407,649203
2021-07-21,347323204,630849
2021-07-20,346692355,603726
2021-07-19,346088629,567846
2021-07-18,345520783,233772
2021-07-17,345287011,400002
2021-07-16,344887009,624760
2021-07-15,344262249,540535
2021-07-14,343721714,530450
2021-07-13,343191264,526400
2021-07-12,342664864,519511
2021-07-11,342145353,216605
2021-07-10,341928748,400982
2021-07-09,341527766,631953
2021-07-08,340895813,565596
2021-07-07,340330217,570025
2021-07-06,339760192,583617
2021-07-05,339176575,396355
2021-07-04,338780220,50308
2021-07-03,338729912,357456
2021-07-02,338372456,619991
2021-07-01,337752465,603703
2021-06-30,337148762,630156
2021-06-29,336518606,626878
2021-06-28,335891728,552580
2021-06-27,335339148,266858
2021-06-26,335072290,498395
2021-06-25,334573895,765196
2021-06-24,333808699,697850
2021-06-23,333110849,734129
2021-06-22,332376720,753791
2021-06-21,331622929,559057
2021-06-20,331063872,276002
2021-06-19,330787870,574091
2021-06-18,330213779,918445
2021-06-17,329295334,891682
2021-06-16,328403652,941554
2021-06-15,327462098,975252
2021-06-14,326486846,910303
2021-06-13,325576543,391953
2021-06-12,325184590,890873
2021-06-11,324293717,1227119
2021-06-10,323066598,1165975
2021-06-09,321900623,1161684
2021-06-08,320738939,1171033
2021-06-07,319567906,1066961
2021-06-06,318500945,515002
2021-06-05,317985943,1067832
2021-06-04,316918111,1398063
2021-06-03,315520048,1242660
2021-06-02,314277388,1113675
2021-06-01,313163713,1260184
2021-05-31,311903529,201157
2021-05-30,311702372,383823
2021-05-29,311318549,763378
2021-05-28,310555171,1324957
2021-05-27,309230214,1342954
2021-05-26,307887260,1429731
2021-05-25,306457529,1432937
2021-05-24,305024592,1316872
2021-05-23,303707720,656563
2021-05-22,303051157,1444608
2021-05-21,301606549,2051673
2021-05-20,299554876,2013240
2021-05-19,297541636,2080674
