Date,Number of Flights
2/13/2022,162754
2/12/2022,182400
2/11/2022,199407
2/10/2022,197247
2/9/2022,194573
2/8/2022,182198
2/7/2022,170108
2/6/2022,160883
2/5/2022,159841
2/4/2022,155219
2/3/2022,149649
2/2/2022,152315
2/1/2022,163738
1/31/2022,168218
1/30/2022,164940
1/29/2022,153674
1/28/2022,180749
1/27/2022,184883
1/26/2022,175538
1/25/2022,165606
1/24/2022,168443
1/23/2022,158033
1/22/2022,156639
1/21/2022,178918
1/20/2022,169055
1/19/2022,169845
1/18/2022,166452
1/17/2022,155855
1/16/2022,144571
1/15/2022,152297
1/14/2022,180672
1/13/2022,185403
1/12/2022,181070
1/11/2022,170750
1/10/2022,163573
1/9/2022,148810
1/8/2022,156230
1/7/2022,167800
1/6/2022,168443
1/5/2022,164358
1/4/2022,168913
1/3/2022,161499
1/2/2022,143753
1/1/2022,112178
12/31/2021,139359
12/30/2021,151570
12/29/2021,151841
12/28/2021,152950
12/27/2021,153431
12/26/2021,144223
12/25/2021,101855
12/24/2021,136927
12/23/2021,179535
12/22/2021,187959
12/21/2021,183361
12/20/2021,183377
12/19/2021,158172
12/18/2021,155572
12/17/2021,192674
12/16/2021,185062
12/15/2021,177308
12/14/2021,179521
12/13/2021,184119
12/12/2021,165742
12/11/2021,148890
12/10/2021,181222
12/9/2021,185353
12/8/2021,178912
12/7/2021,177255
12/6/2021,158922
12/5/2021,158307
12/4/2021,167276
12/3/2021,195817
12/2/2021,194370
12/1/2021,190620
11/30/2021,188234
11/29/2021,187450
11/28/2021,173486
11/27/2021,157361
11/26/2021,157889
11/25/2021,145133
11/24/2021,191905
11/23/2021,195774
11/22/2021,179359
11/21/2021,161891
11/20/2021,179349
11/19/2021,195824
11/18/2021,188759
11/17/2021,191023
11/16/2021,185253
11/15/2021,177433
11/14/2021,162015
11/13/2021,160968
11/12/2021,178163
11/11/2021,181627
11/10/2021,191570
11/9/2021,195032
11/8/2021,189867
11/7/2021,172931
11/6/2021,175254
11/5/2021,199895
11/4/2021,191750
11/3/2021,190691
11/2/2021,184594
11/1/2021,181244
10/31/2021,167884
10/30/2021,168544
10/29/2021,187891
10/28/2021,190271
10/27/2021,192384
10/26/2021,182511
10/25/2021,174705
10/24/2021,180356
10/23/2021,187268
10/22/2021,203026
10/21/2021,198769
10/20/2021,202587
10/19/2021,198885
10/18/2021,192376
10/17/2021,187608
10/16/2021,188496
10/15/2021,207998
10/14/2021,202454
10/13/2021,191916
10/12/2021,181111
10/11/2021,181367
10/10/2021,180304
10/9/2021,187490
10/8/2021,201562
10/7/2021,198249
10/6/2021,189058
10/5/2021,181512
10/4/2021,177405
10/3/2021,167786
10/2/2021,179746
10/1/2021,206736
9/30/2021,202142
9/29/2021,199333
9/28/2021,191995
9/27/2021,189203
9/26/2021,188240
9/25/2021,200115
9/24/2021,213051
9/23/2021,203683
9/22/2021,192614
9/21/2021,186013
9/20/2021,181426
9/19/2021,182725
9/18/2021,189531
9/17/2021,201714
9/16/2021,196745
9/15/2021,192059
9/14/2021,189798
9/13/2021,187778
9/12/2021,191561
9/11/2021,196346
9/10/2021,212065
9/9/2021,200803
9/8/2021,201902
9/7/2021,194582
9/6/2021,189465
9/5/2021,183209
9/4/2021,197968
9/3/2021,214456
9/2/2021,205527
9/1/2021,191682
8/31/2021,187106
8/30/2021,178728
8/29/2021,169344
8/28/2021,180837
8/27/2021,198046
8/26/2021,199960
8/25/2021,205153
8/24/2021,196146
8/23/2021,183638
8/22/2021,166812
8/21/2021,190712
8/20/2021,204264
8/19/2021,194967
8/18/2021,185163
8/17/2021,178096
8/16/2021,178550
8/15/2021,184303
8/14/2021,193733
8/13/2021,206789
8/12/2021,209209
8/11/2021,205304
8/10/2021,193777
8/9/2021,185334
8/8/2021,171464
8/7/2021,176000
8/6/2021,202733
8/5/2021,203066
8/4/2021,203342
8/3/2021,197662
8/2/2021,193672
8/1/2021,171745
7/31/2021,193508
7/30/2021,210937
7/29/2021,211471
7/28/2021,205149
7/27/2021,200734
7/26/2021,190610
7/25/2021,177267
7/24/2021,194582
7/23/2021,224866
7/22/2021,228148
7/21/2021,204830
7/20/2021,201534
7/19/2021,197066
7/18/2021,192934
7/17/2021,192326
7/16/2021,210714
7/15/2021,213060
7/14/2021,200326
7/13/2021,189203
7/12/2021,183675
7/11/2021,178482
7/10/2021,199811
7/9/2021,203345
7/8/2021,195658
7/7/2021,192965
7/6/2021,185900
7/5/2021,186289
7/4/2021,161074
7/3/2021,186617
7/2/2021,201098
7/1/2021,197140
6/30/2021,190842
6/29/2021,184606
6/28/2021,187672
6/27/2021,176272
6/26/2021,182506
6/25/2021,199871
6/24/2021,202776
6/23/2021,206593
6/22/2021,187439
6/21/2021,172849
6/20/2021,166954
6/19/2021,185229
6/18/2021,205220
6/17/2021,212713
6/16/2021,212155
6/15/2021,196213
6/14/2021,184338
6/13/2021,176956
6/12/2021,188526
6/11/2021,199281
6/10/2021,197849
6/9/2021,191080
6/8/2021,179493
6/7/2021,169791
6/6/2021,164914
6/5/2021,174578
6/4/2021,189557
6/3/2021,185129
6/2/2021,191584
6/1/2021,187815
5/31/2021,176589
5/30/2021,168483
5/29/2021,172975
5/28/2021,189183
5/27/2021,195212
5/26/2021,182857
5/25/2021,173180
5/24/2021,170768
5/23/2021,157861
5/22/2021,158469
5/21/2021,177004
5/20/2021,182353
5/19/2021,173043
5/18/2021,164180
5/17/2021,159629
5/16/2021,149581
5/15/2021,159570
5/14/2021,190421
5/13/2021,184438
5/12/2021,174834
5/11/2021,162743
5/10/2021,156634
5/9/2021,145072
5/8/2021,166994
5/7/2021,184547
5/6/2021,182929
5/5/2021,169353
5/4/2021,153095
5/3/2021,152421
5/2/2021,150416
5/1/2021,159810
4/30/2021,175078
4/29/2021,171083
4/28/2021,176920
4/27/2021,179068
4/26/2021,170021
4/25/2021,160678
4/24/2021,166015
4/23/2021,183579
4/22/2021,180679
4/21/2021,168365
4/20/2021,170437
4/19/2021,165302
4/18/2021,167844
4/17/2021,167948
4/16/2021,180432
4/15/2021,172740
4/14/2021,177016
4/13/2021,179478
4/12/2021,166506
4/11/2021,149245
4/10/2021,153380
4/9/2021,178215
4/8/2021,180709
4/7/2021,177014
4/6/2021,172394
4/5/2021,165847
4/4/2021,149094
4/3/2021,169504
4/2/2021,180854
