Date,Current Hospitalized COVID-19 Patients
2/13/2022,82055.86
2/12/2022,85521.43
2/11/2022,89003
2/10/2022,92676.86
2/9/2022,97626
2/8/2022,101406.57
2/7/2022,105178.43
2/6/2022,108951.71
2/5/2022,112626.29
2/4/2022,116146.86
2/3/2022,119692.43
2/2/2022,123137.57
2/1/2022,126537.14
1/31/2022,129780.71
1/30/2022,132730.71
1/29/2022,135440.71
1/28/2022,138055.14
1/27/2022,140453.43
1/26/2022,142616.43
1/25/2022,144428.43
1/24/2022,145872.43
1/23/2022,146760
1/22/2022,147503.71
1/21/2022,148047.29
1/20/2022,148315.57
1/19/2022,148081.43
1/18/2022,147406.29
1/17/2022,146411.14
1/16/2022,145236.14
1/15/2022,143556.29
1/14/2022,141419.86
1/13/2022,138678.14
1/12/2022,135394.57
1/11/2022,131504.29
1/10/2022,127159.14
1/9/2022,122474.71
1/8/2022,117712.57
1/7/2022,112625.43
1/6/2022,107367.57
1/5/2022,102234.43
1/4/2022,97256.29
1/3/2022,92304
1/2/2022,87511.57
1/1/2022,82845.14
12/31/2021,78665.29
12/30/2021,74766.86
12/29/2021,71408.29
12/28/2021,68501.43
12/27/2021,66303.57
12/26/2021,64755.29
12/25/2021,63827.71
12/24/2021,63207.43
12/23/2021,62849.86
12/22/2021,62492.86
12/21/2021,62332.86
12/20/2021,62215.71
12/19/2021,62115
12/18/2021,61997.29
12/17/2021,61844
12/16/2021,61553.14
12/15/2021,61172
12/14/2021,60671.43
12/13/2021,60058.86
12/12/2021,59262
12/11/2021,58411
12/10/2021,57511.71
12/9/2021,56563
12/8/2021,55595.86
12/7/2021,54684.57
12/6/2021,53794
12/5/2021,52991.43
12/4/2021,52213.14
12/3/2021,51433.14
12/2/2021,50555.57
12/1/2021,49659.71
11/30/2021,48498.71
11/29/2021,47761.86
11/28/2021,47046
11/27/2021,46368.14
11/26/2021,45772.43
11/25/2021,45345.14
11/24/2021,45047.57
11/23/2021,44943.43
11/22/2021,44445.29
11/21/2021,43938.43
11/20/2021,43438.86
11/19/2021,42959.71
11/18/2021,42468.86
11/17/2021,41995.29
11/16/2021,41638.71
11/15/2021,41315.14
11/14/2021,41051.57
11/13/2021,40862
11/12/2021,40684.43
11/11/2021,40575.86
11/10/2021,40513.43
11/9/2021,40525.43
11/8/2021,40587.86
11/7/2021,40753.71
11/6/2021,41013.43
11/5/2021,41352.71
11/4/2021,41697.86
11/3/2021,42082.29
11/2/2021,42496.43
11/1/2021,42989.57
10/31/2021,43511.86
10/30/2021,44019.86
10/29/2021,44536.14
10/28/2021,45090.14
10/27/2021,45683
10/26/2021,46300.57
10/25/2021,46912.43
10/24/2021,47673.71
10/23/2021,48364.57
10/22/2021,49091.43
10/21/2021,49926.14
10/20/2021,50791.71
10/19/2021,51713.43
10/18/2021,52683.57
10/17/2021,53386.57
10/16/2021,54177.29
10/15/2021,54947.71
10/14/2021,55701.71
10/13/2021,56630.57
10/12/2021,57541.86
10/11/2021,58457.57
10/10/2021,59546.57
10/9/2021,60622
10/8/2021,61720.86
10/7/2021,62900.86
10/6/2021,63901.29
10/5/2021,65086.14
10/4/2021,66364.57
10/3/2021,67699.71
10/2/2021,69087.57
10/1/2021,70494.29
9/30/2021,71942.14
9/29/2021,73498.29
9/28/2021,74930.71
9/27/2021,76328.57
9/26/2021,77716.71
9/25/2021,79051.29
9/24/2021,80414.14
9/23/2021,81746.57
9/22/2021,83029.71
9/21/2021,84274.14
9/20/2021,85338.29
9/19/2021,86550.29
9/18/2021,87671.86
9/17/2021,88745.71
9/16/2021,89864.71
9/15/2021,90920.29
9/14/2021,91904.71
9/13/2021,92891.14
9/12/2021,93397.43
9/11/2021,93928
9/10/2021,94358.71
9/9/2021,94666.86
9/8/2021,94958.43
9/7/2021,95145.29
9/6/2021,95282.29
9/5/2021,95472.71
9/4/2021,95617.57
9/3/2021,95618.57
9/2/2021,95542.43
9/1/2021,95354.57
8/31/2021,94956.43
8/30/2021,94705
8/29/2021,94357.43
8/28/2021,93809.29
8/27/2021,93171.43
8/26/2021,92336.29
8/25/2021,91358.14
8/24/2021,90464.57
8/23/2021,89158.29
8/22/2021,87705.71
8/21/2021,86217.57
8/20/2021,84685.57
8/19/2021,83051.71
8/18/2021,81295.29
8/17/2021,79349.43
8/16/2021,77344.86
8/15/2021,75306.43
8/14/2021,73141.43
8/13/2021,70863.86
8/12/2021,68536.43
8/11/2021,66096.43
8/10/2021,63583
8/9/2021,61044.14
8/8/2021,58500.71
8/7/2021,56003.86
8/6/2021,53618
8/5/2021,51143.43
8/4/2021,48686.86
8/3/2021,46354.71
8/2/2021,44070.86
8/1/2021,41801
7/31/2021,39674.29
7/30/2021,37561.29
7/29/2021,35550.14
7/28/2021,33630.71
7/27/2021,31732.29
7/26/2021,29959.71
7/25/2021,28344.71
7/24/2021,26808.29
7/23/2021,25419.57
7/22/2021,24092.57
7/21/2021,22865.43
7/20/2021,21738.71
7/19/2021,20656.71
7/18/2021,19674.57
7/17/2021,18803.71
7/16/2021,17977.57
7/15/2021,17205.71
7/14/2021,16523.71
7/13/2021,15897.71
7/12/2021,15320.29
7/11/2021,14766.14
7/10/2021,14304.57
7/9/2021,13906.57
7/8/2021,13591.71
7/7/2021,13278.86
7/6/2021,13026.14
7/5/2021,12837.43
7/4/2021,12703.14
7/3/2021,12538.29
7/2/2021,12420.43
7/1/2021,12288.57
6/30/2021,12213.86
6/29/2021,12166.86
6/28/2021,12145.29
6/27/2021,12155.71
6/26/2021,12225.57
6/25/2021,12277.14
6/24/2021,12351
6/23/2021,12451.29
6/22/2021,12577.43
6/21/2021,12743.29
6/20/2021,12929
6/19/2021,13132.43
6/18/2021,13328.57
6/17/2021,13545.71
6/16/2021,13788.29
6/15/2021,14036.29
6/14/2021,14307.57
6/13/2021,14568.14
6/12/2021,14856.71
6/11/2021,15197.71
6/10/2021,15562.86
6/9/2021,15958.29
6/8/2021,16362.86
6/7/2021,16791.43
6/6/2021,17206.14
6/5/2021,17629.71
6/4/2021,18072.43
6/3/2021,18551.57
6/2/2021,19029.43
6/1/2021,19518
5/31/2021,20001.43
5/30/2021,20527.14
5/29/2021,21013.43
5/28/2021,21465.86
5/27/2021,21892.43
5/26/2021,22310.14
5/25/2021,22784
5/24/2021,23205.57
5/23/2021,23659.57
5/22/2021,24101.29
5/21/2021,24590.57
5/20/2021,25146
5/19/2021,25730.14
5/18/2021,26308.29
5/17/2021,26943.29
5/16/2021,27574.14
5/15/2021,28198.86
5/14/2021,28814.86
5/13/2021,29424
5/12/2021,30023
5/11/2021,30611.29
5/10/2021,31209.43
5/9/2021,31769.57
5/8/2021,32292
5/7/2021,32780.86
5/6/2021,33301.71
5/5/2021,33811.14
5/4/2021,34329.43
5/3/2021,34832.43
5/2/2021,35343.43
5/1/2021,35827.57
4/30/2021,36310
4/29/2021,36765.29
4/28/2021,37223.29
4/27/2021,37677.14
4/26/2021,38105.57
4/25/2021,38491.71
4/24/2021,38827
4/23/2021,39059.29
4/22/2021,39180.86
4/21/2021,39180.43
4/20/2021,39099
4/19/2021,38950.71
4/18/2021,38763
4/17/2021,38558.29
4/16/2021,38344.86
4/15/2021,38123
4/14/2021,37946.43
4/13/2021,37699.14
4/12/2021,37452.43
4/11/2021,37110.57
4/10/2021,36759.57
4/9/2021,36420.86
4/8/2021,36078
4/7/2021,35729.71
4/6/2021,35411.14
4/5/2021,35116.14
4/4/2021,34902.14
4/3/2021,34730.43
4/2/2021,34552.14
4/1/2021,34422.43
3/31/2021,34246.14
3/30/2021,34064.71
3/29/2021,33867
3/28/2021,33682.86
3/27/2021,33515.29
3/26/2021,33407.57
3/25/2021,33318.43
3/24/2021,33278.29
3/23/2021,33292.29
3/22/2021,33353
3/21/2021,33469.57
3/20/2021,33599
3/19/2021,33823
3/18/2021,34020.86
3/17/2021,34246.14
3/16/2021,34487.71
3/15/2021,34836.14
3/14/2021,35256.71
3/13/2021,35711.86
3/12/2021,36148.86
3/11/2021,36647.71
3/10/2021,37232.71
3/9/2021,38039.29
3/8/2021,38824.14
3/7/2021,39674.29
3/6/2021,40577.43
3/5/2021,41481.86
3/4/2021,42504
3/3/2021,43658.86
3/2/2021,44880.43
3/1/2021,46195.57
2/28/2021,47505.86
2/27/2021,48810.29
2/26/2021,50157.14
2/25/2021,51572.14
2/24/2021,52958.86
2/23/2021,54556.57
2/22/2021,55908.57
2/21/2021,57201.86
2/20/2021,58020.29
2/19/2021,59490
2/18/2021,61013.57
2/17/2021,62664.43
2/16/2021,64140.57
2/15/2021,66144.14
2/14/2021,68232.29
2/13/2021,70826.29
2/12/2021,72839.14
2/11/2021,74892.86
2/10/2021,76935.14
2/9/2021,78963.43
2/8/2021,80843.71
2/7/2021,82764.71
2/6/2021,84654.71
2/5/2021,86526.57
2/4/2021,88477.43
2/3/2021,90638.43
2/2/2021,92781.86
2/1/2021,94999.43
1/31/2021,97234.29
1/30/2021,99434
1/29/2021,101628
1/28/2021,103841.43
1/27/2021,105797.29
1/26/2021,107861.71
1/25/2021,109951.71
1/24/2021,111956
1/23/2021,113910
1/22/2021,115749.14
1/21/2021,117446.14
1/20/2021,120193.71
1/19/2021,121513
1/18/2021,122596.57
1/17/2021,123595.57
1/16/2021,124402
1/15/2021,125129.71
1/14/2021,125683
1/13/2021,125016
1/12/2021,125448.14
1/11/2021,125693.43
1/10/2021,125678
1/9/2021,125525
1/8/2021,124998.57
1/7/2021,124047.57
1/6/2021,123306.14
1/5/2021,122506
1/4/2021,121668
1/3/2021,120837.43
1/2/2021,119925
1/1/2021,118960
12/31/2020,117859.86
12/30/2020,116887.14
12/29/2020,116085
12/28/2020,115249
12/27/2020,114290.71
12/26/2020,113378.43
12/25/2020,112734.57
12/24/2020,112600.86
12/23/2020,112047.86
12/22/2020,111179.14
12/21/2020,110349.86
12/20/2020,109653.29
12/19/2020,109019.29
12/18/2020,108283.57
12/17/2020,107438
12/16/2020,106457.86
12/15/2020,105440.29
12/14/2020,104188.57
12/13/2020,102952.71
12/12/2020,101686.14
12/11/2020,100532.86
12/10/2020,99476.29
12/9/2020,98467.86
12/8/2020,97573
12/7/2020,96799.29
12/6/2020,95937.43
12/5/2020,95081.86
12/4/2020,94009.57
12/3/2020,92582.71
12/2/2020,90965.14
12/1/2020,89432.86
11/30/2020,87921.43
11/29/2020,86412.57
11/28/2020,84910.71
11/27/2020,83544.57
11/26/2020,82379.43
11/25/2020,81252.29
11/24/2020,79901
11/23/2020,78412.29
11/22/2020,76831.86
11/21/2020,75099.14
11/20/2020,73307.14
11/19/2020,71408.29
11/18/2020,69543.71
11/17/2020,67539.29
11/16/2020,65546.29
11/15/2020,63463.43
11/14/2020,61455.29
11/13/2020,59487.14
11/12/2020,57568.43
11/11/2020,55628
11/10/2020,53772
11/9/2020,51971.43
11/8/2020,50448.43
11/7/2020,49043.71
11/6/2020,47795.14
11/5/2020,46665.57
11/4/2020,45588.57
11/3/2020,44582.86
11/2/2020,43609.86
11/1/2020,42699.71
10/31/2020,41902.29
10/30/2020,41119.86
10/29/2020,40284
10/28/2020,39581
10/27/2020,38873
10/26/2020,38176.43
10/25/2020,37361.86
10/24/2020,36588.43
10/23/2020,35823.14
10/22/2020,35151
10/21/2020,34468.14
10/20/2020,33855.71
10/19/2020,33319.29
10/18/2020,32881.14
10/17/2020,32415.29
10/16/2020,31997.86
10/15/2020,31553
10/14/2020,31020.86
10/13/2020,30507
10/12/2020,29958.43
10/11/2020,29384.71
10/10/2020,28827.57
10/9/2020,28265.71
10/8/2020,27695.43
10/7/2020,27251.29
10/6/2020,26854.71
10/5/2020,26529.29
10/4/2020,26279.29
10/3/2020,26091.29
10/2/2020,25961.14
10/1/2020,25805
9/30/2020,25647.43
9/29/2020,25478.86
9/28/2020,25269.29
9/27/2020,25127.57
9/26/2020,24996.43
9/25/2020,24856.43
9/24/2020,24792.14
9/23/2020,24731.71
9/22/2020,24710.71
9/21/2020,24796.57
9/20/2020,24864.86
9/19/2020,25052.29
9/18/2020,25224.71
9/17/2020,25454.86
9/16/2020,25740.71
9/15/2020,26073.29
9/14/2020,26393.86
9/13/2020,26595
9/12/2020,26815.29
9/11/2020,27129.29
9/10/2020,27461.71
9/9/2020,27775
9/8/2020,28082.86
9/7/2020,28384.57
9/6/2020,28882.43
9/5/2020,29282
9/4/2020,29624.86
9/3/2020,29936.86
9/2/2020,30404.71
9/1/2020,30797
8/31/2020,31281
8/30/2020,31668.14
8/29/2020,32058.29
8/28/2020,32538.14
8/27/2020,32992.57
8/26/2020,33546.29
8/25/2020,34178.86
8/24/2020,34770.14
8/23/2020,35427.57
8/22/2020,36051.71
8/21/2020,36407.57
8/20/2020,37046.29
8/19/2020,37522.29
8/18/2020,38041.57
8/17/2020,38416.86
8/16/2020,38775.43
8/15/2020,39086.71
8/14/2020,39595.29
8/13/2020,40081.14
8/12/2020,40529.43
8/11/2020,40952.14
8/10/2020,41444.57
8/9/2020,41978.86
8/8/2020,42563.14
8/7/2020,42838.43
8/6/2020,43005.17
8/5/2020,43063
8/4/2020,42954.25
8/3/2020,42711
8/2/2020,42008.5
8/1/2020,41019
7/31/2020,0
7/30/2020,0
7/29/2020,0
7/28/2020,0
7/27/2020,0
7/26/2020,0
7/25/2020,0
7/24/2020,0
7/23/2020,0
7/22/2020,0
7/21/2020,0
7/20/2020,0
7/19/2020,0
7/18/2020,0
7/17/2020,0
7/16/2020,0
7/15/2020,0
7/14/2020,0
7/13/2020,0
7/12/2020,0
7/11/2020,0
7/10/2020,0
7/9/2020,0
7/8/2020,0
7/7/2020,0
7/6/2020,0
7/5/2020,0
7/4/2020,0
7/3/2020,0
7/2/2020,0
7/1/2020,0
6/30/2020,0
6/29/2020,0
6/28/2020,0
6/27/2020,0
6/26/2020,0
6/25/2020,0
6/24/2020,0
6/23/2020,0
6/22/2020,0
6/21/2020,0
6/20/2020,0
6/19/2020,0
6/18/2020,0
6/17/2020,0
6/16/2020,0
6/15/2020,0
6/14/2020,0
6/13/2020,0
6/12/2020,0
6/11/2020,0
6/10/2020,0
6/9/2020,0
6/8/2020,0
6/7/2020,0
6/6/2020,0
6/5/2020,0
6/4/2020,0
6/3/2020,0
6/2/2020,0
6/1/2020,0
5/31/2020,0
5/30/2020,0
5/29/2020,0
5/28/2020,0
5/27/2020,0
5/26/2020,0
5/25/2020,0
5/24/2020,0
5/23/2020,0
5/22/2020,0
5/21/2020,0
5/20/2020,0
5/19/2020,0
5/18/2020,0
5/17/2020,0
5/16/2020,0
5/15/2020,0
5/14/2020,0
5/13/2020,0
5/12/2020,0
5/11/2020,0
5/10/2020,0
5/9/2020,0
5/8/2020,0
5/7/2020,0
5/6/2020,0
5/5/2020,0
5/4/2020,0
5/3/2020,0
5/2/2020,0
5/1/2020,0
4/30/2020,0
4/29/2020,0
4/28/2020,0
4/27/2020,0
4/26/2020,0
4/25/2020,0
4/24/2020,0
4/23/2020,0
4/22/2020,0
4/21/2020,0
4/20/2020,0
4/19/2020,0
4/18/2020,0
4/17/2020,0
4/16/2020,0
4/15/2020,0
4/14/2020,0
4/13/2020,0
4/12/2020,0
4/11/2020,0
4/10/2020,0
4/9/2020,0
4/8/2020,0
4/7/2020,0
4/6/2020,0
4/5/2020,0
4/4/2020,0
4/3/2020,0
4/2/2020,0
4/1/2020,0
3/31/2020,0
3/30/2020,0
3/29/2020,0
3/28/2020,0
3/27/2020,0
3/26/2020,0
3/25/2020,0
3/24/2020,0
3/23/2020,0
3/22/2020,0
3/21/2020,0
3/20/2020,0
3/19/2020,0
3/18/2020,0
3/17/2020,0
3/16/2020,0
3/15/2020,0
3/14/2020,0
3/13/2020,0
3/12/2020,0
3/11/2020,0
3/10/2020,0
3/9/2020,0
3/8/2020,0
3/7/2020,0
3/6/2020,0
3/5/2020,0
3/4/2020,0
3/3/2020,0
3/2/2020,0
3/1/2020,0
2/29/2020,0
2/28/2020,0
2/27/2020,0
2/26/2020,0
2/25/2020,0
2/24/2020,0
2/23/2020,0
2/22/2020,0
2/21/2020,0
2/20/2020,0
2/19/2020,0
2/18/2020,0
2/17/2020,0
2/16/2020,0
2/15/2020,0
2/14/2020,0
2/13/2020,0
2/12/2020,0
2/11/2020,0
2/10/2020,0
2/9/2020,0
2/8/2020,0
2/7/2020,0
2/6/2020,0
2/5/2020,0
2/4/2020,0
2/3/2020,0
2/2/2020,0
2/1/2020,0
1/31/2020,0
1/30/2020,0
1/29/2020,0
1/28/2020,0
1/27/2020,0
1/26/2020,0
1/25/2020,0
1/24/2020,0
1/23/2020,0
