date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom
2019-12-01,46.0,66.0,38.0,20.0,62.0,17.0,55.0,31.0,19.0,0.0,0.0,13.0,0.0,14.0,55.0,29.0,0.0,0.0,31.0,3.0,53.0,2.0,35.0,70.0,2.0
2019-12-02,46.0,77.0,32.0,20.0,79.0,14.0,55.0,30.0,21.0,0.0,11.0,21.0,0.0,17.0,61.0,33.0,0.0,10.0,26.0,4.0,45.0,5.0,49.0,75.0,4.0
2019-12-03,36.0,80.0,41.0,16.0,83.0,16.0,61.0,30.0,22.0,4.0,0.0,39.0,0.0,24.0,75.0,52.0,0.0,5.0,28.0,5.0,34.0,5.0,49.0,85.0,4.0
2019-12-04,44.0,87.0,72.0,16.0,89.0,15.0,66.0,32.0,21.0,8.0,7.0,34.0,0.0,24.0,82.0,75.0,0.0,5.0,31.0,6.0,37.0,3.0,52.0,85.0,4.0
2019-12-05,54.0,80.0,49.0,22.0,92.0,14.0,68.0,29.0,23.0,0.0,4.0,23.0,0.0,25.0,85.0,79.0,0.0,16.0,28.0,4.0,47.0,5.0,55.0,87.0,4.0
2019-12-06,46.0,76.0,25.0,19.0,82.0,12.0,60.0,29.0,19.0,0.0,0.0,37.0,0.0,20.0,46.0,68.0,0.0,16.0,31.0,4.0,25.0,4.0,49.0,83.0,3.0
2019-12-07,36.0,64.0,18.0,26.0,58.0,14.0,56.0,33.0,21.0,0.0,0.0,27.0,0.0,18.0,61.0,100.0,0.0,0.0,34.0,3.0,34.0,2.0,38.0,90.0,4.0
2019-12-08,41.0,65.0,25.0,25.0,59.0,13.0,57.0,31.0,21.0,5.0,4.0,10.0,0.0,15.0,51.0,95.0,0.0,6.0,38.0,2.0,50.0,3.0,35.0,94.0,3.0
2019-12-09,55.0,83.0,33.0,19.0,85.0,15.0,55.0,31.0,23.0,8.0,0.0,40.0,0.0,21.0,100.0,63.0,0.0,0.0,48.0,4.0,28.0,5.0,49.0,87.0,4.0
2019-12-10,38.0,79.0,47.0,19.0,86.0,16.0,60.0,33.0,24.0,4.0,4.0,26.0,0.0,22.0,67.0,49.0,0.0,11.0,35.0,3.0,38.0,5.0,52.0,86.0,4.0
2019-12-11,42.0,77.0,36.0,21.0,84.0,14.0,53.0,32.0,24.0,0.0,4.0,31.0,0.0,26.0,57.0,37.0,0.0,11.0,30.0,4.0,35.0,3.0,55.0,85.0,4.0
2019-12-12,48.0,78.0,27.0,22.0,82.0,15.0,59.0,33.0,23.0,9.0,0.0,26.0,0.0,26.0,52.0,38.0,0.0,5.0,31.0,5.0,45.0,4.0,55.0,100.0,4.0
2019-12-13,50.0,76.0,30.0,16.0,78.0,12.0,57.0,31.0,24.0,9.0,8.0,18.0,0.0,24.0,78.0,37.0,0.0,11.0,25.0,2.0,31.0,3.0,45.0,79.0,4.0
2019-12-14,27.0,68.0,53.0,30.0,60.0,15.0,53.0,33.0,23.0,0.0,4.0,13.0,0.0,28.0,45.0,33.0,0.0,13.0,31.0,2.0,54.0,1.0,35.0,90.0,3.0
2019-12-15,39.0,67.0,40.0,25.0,64.0,14.0,52.0,34.0,24.0,5.0,4.0,14.0,0.0,30.0,48.0,37.0,0.0,6.0,34.0,2.0,37.0,3.0,28.0,83.0,3.0
2019-12-16,48.0,77.0,30.0,17.0,82.0,17.0,56.0,37.0,29.0,4.0,4.0,46.0,0.0,30.0,49.0,24.0,0.0,5.0,31.0,3.0,34.0,4.0,49.0,82.0,3.0
2019-12-17,37.0,77.0,22.0,20.0,83.0,16.0,62.0,36.0,29.0,4.0,0.0,26.0,0.0,22.0,78.0,24.0,0.0,22.0,29.0,4.0,38.0,5.0,55.0,86.0,4.0
2019-12-18,42.0,73.0,59.0,27.0,72.0,15.0,59.0,34.0,30.0,9.0,8.0,21.0,0.0,26.0,60.0,21.0,0.0,0.0,34.0,3.0,44.0,4.0,45.0,82.0,3.0
2019-12-19,33.0,65.0,28.0,21.0,66.0,13.0,61.0,34.0,28.0,0.0,0.0,30.0,0.0,41.0,36.0,18.0,0.0,0.0,35.0,3.0,31.0,3.0,45.0,83.0,3.0
2019-12-20,32.0,64.0,30.0,18.0,56.0,14.0,65.0,35.0,29.0,0.0,0.0,37.0,0.0,19.0,60.0,18.0,0.0,12.0,49.0,3.0,41.0,2.0,38.0,83.0,3.0
2019-12-21,25.0,59.0,7.0,24.0,48.0,19.0,63.0,37.0,32.0,0.0,0.0,14.0,0.0,13.0,21.0,21.0,0.0,6.0,41.0,3.0,41.0,1.0,38.0,94.0,2.0
2019-12-22,39.0,62.0,34.0,28.0,52.0,16.0,68.0,40.0,35.0,0.0,0.0,14.0,0.0,10.0,54.0,28.0,0.0,0.0,37.0,1.0,62.0,3.0,35.0,86.0,2.0
