date,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake
2019-12-02,0.0,51.0,19.0,72.0,27.0,31.0,39.0,14.0,74.0,71.0,18.0,30.0,48.0,41.0,7.0,61.0,50.0,68.0,42.0,1.0,0.0,15.0,35.0
2019-12-03,0.0,48.0,7.0,69.0,26.0,28.0,39.0,14.0,75.0,71.0,21.0,34.0,47.0,41.0,7.0,81.0,57.0,72.0,44.0,1.0,0.0,15.0,34.0
2019-12-04,0.0,54.0,15.0,62.0,28.0,25.0,40.0,15.0,74.0,69.0,23.0,38.0,46.0,40.0,8.0,72.0,53.0,77.0,48.0,1.0,0.0,16.0,35.0
2019-12-05,0.0,46.0,8.0,62.0,30.0,26.0,41.0,16.0,75.0,66.0,27.0,41.0,45.0,42.0,9.0,69.0,61.0,77.0,49.0,1.0,0.0,15.0,35.0
2019-12-06,0.0,46.0,27.0,69.0,28.0,25.0,40.0,15.0,70.0,67.0,26.0,29.0,46.0,42.0,8.0,70.0,56.0,71.0,45.0,1.0,0.0,15.0,36.0
2019-12-07,0.0,44.0,29.0,75.0,27.0,22.0,41.0,17.0,63.0,63.0,10.0,14.0,46.0,31.0,9.0,74.0,47.0,61.0,34.0,1.0,0.0,18.0,37.0
2019-12-08,0.0,52.0,38.0,91.0,29.0,23.0,52.0,20.0,67.0,59.0,12.0,17.0,41.0,37.0,9.0,74.0,50.0,58.0,34.0,1.0,0.0,18.0,33.0
2019-12-09,0.0,66.0,15.0,69.0,23.0,25.0,46.0,16.0,71.0,62.0,22.0,34.0,47.0,52.0,7.0,72.0,53.0,70.0,41.0,1.0,0.0,16.0,34.0
2019-12-10,0.0,47.0,17.0,66.0,27.0,29.0,42.0,16.0,71.0,64.0,24.0,38.0,56.0,40.0,7.0,63.0,56.0,68.0,44.0,1.0,0.0,15.0,34.0
2019-12-11,0.0,39.0,15.0,66.0,26.0,29.0,41.0,16.0,72.0,69.0,23.0,41.0,55.0,53.0,7.0,79.0,53.0,77.0,46.0,0.0,0.0,15.0,33.0
2019-12-12,0.0,56.0,19.0,62.0,26.0,26.0,41.0,16.0,71.0,64.0,24.0,40.0,47.0,44.0,8.0,69.0,57.0,68.0,41.0,1.0,0.0,15.0,35.0
2019-12-13,0.0,41.0,17.0,66.0,24.0,26.0,40.0,14.0,65.0,64.0,22.0,31.0,46.0,38.0,6.0,78.0,52.0,65.0,42.0,1.0,0.0,16.0,36.0
2019-12-14,0.0,54.0,21.0,78.0,17.0,24.0,42.0,17.0,60.0,64.0,9.0,15.0,44.0,37.0,9.0,73.0,45.0,53.0,33.0,1.0,0.0,16.0,38.0
2019-12-15,0.0,50.0,12.0,81.0,25.0,25.0,46.0,22.0,66.0,63.0,10.0,19.0,46.0,35.0,7.0,63.0,46.0,52.0,34.0,1.0,0.0,17.0,36.0
2019-12-16,0.0,54.0,15.0,72.0,26.0,26.0,41.0,16.0,71.0,65.0,18.0,29.0,47.0,40.0,7.0,80.0,53.0,67.0,42.0,1.0,0.0,15.0,36.0
2019-12-17,0.0,55.0,19.0,66.0,31.0,27.0,42.0,18.0,70.0,67.0,21.0,36.0,47.0,36.0,8.0,69.0,53.0,67.0,42.0,1.0,0.0,15.0,37.0
2019-12-18,0.0,47.0,9.0,66.0,22.0,26.0,42.0,16.0,67.0,64.0,20.0,39.0,45.0,37.0,7.0,63.0,47.0,67.0,41.0,1.0,0.0,15.0,35.0
2019-12-19,0.0,63.0,17.0,59.0,24.0,26.0,40.0,15.0,61.0,61.0,17.0,26.0,44.0,34.0,8.0,80.0,49.0,57.0,39.0,1.0,0.0,14.0,34.0
2019-12-20,0.0,59.0,5.0,69.0,26.0,24.0,43.0,16.0,57.0,66.0,12.0,15.0,47.0,33.0,9.0,65.0,49.0,59.0,32.0,1.0,0.0,15.0,37.0
2019-12-21,0.0,55.0,11.0,66.0,17.0,26.0,46.0,20.0,56.0,60.0,5.0,12.0,45.0,33.0,9.0,69.0,46.0,51.0,35.0,0.0,0.0,18.0,39.0
2019-12-22,0.0,58.0,19.0,81.0,25.0,26.0,48.0,25.0,58.0,61.0,5.0,6.0,42.0,29.0,8.0,65.0,47.0,49.0,32.0,1.0,0.0,18.0,38.0
2019-12-23,0.0,58.0,10.0,72.0,22.0,25.0,42.0,21.0,55.0,62.0,7.0,9.0,49.0,28.0,7.0,51.0,47.0,58.0,33.0,1.0,0.0,16.0,41.0
2019-12-24,0.0,55.0,11.0,69.0,21.0,24.0,45.0,27.0,52.0,58.0,7.0,7.0,44.0,27.0,7.0,52.0,46.0,53.0,36.0,1.0,0.0,17.0,38.0
2019-12-25,0.0,60.0,9.0,69.0,20.0,26.0,47.0,40.0,42.0,66.0,4.0,2.0,40.0,32.0,7.0,60.0,45.0,42.0,32.0,1.0,0.0,14.0,37.0
2019-12-26,0.0,53.0,11.0,72.0,27.0,25.0,46.0,20.0,60.0,67.0,6.0,9.0,51.0,40.0,9.0,59.0,46.0,59.0,31.0,1.0,0.0,16.0,45.0
2019-12-27,0.0,75.0,16.0,66.0,19.0,30.0,50.0,16.0,62.0,63.0,8.0,10.0,53.0,32.0,13.0,66.0,46.0,59.0,35.0,1.0,0.0,18.0,44.0
