,Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
0,2019-12-02,20.3,19.76,0.54,1184000,137.72,137.36,0.36,4717100,22.66,21.87,0.79,106500,"28,109.74","27,783.04",326.7,"236,610,000",36.8,36.33,0.47,15645998,,,,
1,2019-12-03,19.48,21.28,-1.8,1795200,136.91,137.16,-0.25,5741400,22.05,20.77,1.28,88400,"27,501.98","27,502.81",-0.83,"275,350,000",36.02,36.1,-0.09,20869832,,,,
2,2019-12-04,21.0,21.27,-0.27,1980100,138.5,139.38,-0.88,7257300,21.49,21.37,0.12,146500,"27,634.63","27,649.78",-15.15,"218,200,000",36.27,36.19,0.09,14501248,,,,
3,2019-12-05,21.49,20.64,0.85,1478100,139.35,139.56,-0.21,5472900,21.75,22.49,-0.74,129900,"27,736.05","27,677.79",58.26,"208,600,000",36.4,36.08,0.32,13098058,,,,
4,2019-12-06,20.78,18.94,1.84,3537200,139.46,140.38,-0.92,6640400,22.85,24.37,-1.52,251500,"27,839.68","28,015.06",-175.38,"223,310,000",36.32,36.33,-0.01,12868708,,,,
5,2019-12-09,19.07,18.78,0.29,2814000,140.39,140.5,-0.11,4241000,25.0,29.0,-4.0,393900,"27,987.05","27,909.60",77.45,"217,000,000",36.15,36.36,-0.21,15641571,,,,
6,2019-12-10,18.78,18.87,-0.09,1619800,140.8,139.99,0.81,5310300,29.0,28.0,1.0,180200,"27,900.65","27,881.72",18.93,"213,250,000",36.31,36.51,-0.2,19171311,,,,
7,2019-12-11,19.03,18.65,0.38,1233100,140.93,140.98,-0.05,6631500,28.7,31.3,-2.6,205200,"27,867.31","27,911.30",-43.99,"213,510,000",36.4,36.26,0.14,15569372,,,,
8,2019-12-12,18.56,18.45,0.11,1313400,141.32,141.34,-0.02,5012400,32.7,29.84,2.86,380900,"27,898.34","28,132.05",-233.71,"277,740,000",36.21,36.57,-0.35,13414469,,,,
9,2019-12-13,18.47,18.62,-0.15,1302400,141.1,141.38,-0.28,4257200,32.15,32.45,-0.3,232700,"28,123.64","28,135.38",-11.74,"250,660,000",36.55,36.37,0.18,16678496,,,,
10,2019-12-16,18.6,18.52,0.08,1785500,141.73,141.79,-0.06,5353100,38.44,35.0,3.44,622900,"28,191.67","28,235.89",-44.22,"286,770,000",36.72,37.13,-0.42,24187824,,,,
11,2019-12-17,18.54,18.44,0.1,1647800,143.0,143.56,-0.56,10722400,36.51,36.91,-0.4,261600,"28,221.75","28,267.16",-45.41,"286,770,000",37.42,36.91,0.51,29038016,,,,
12,2019-12-18,18.48,18.64,-0.16,1277700,143.72,143.19,0.53,7849200,35.48,35.0,0.48,146500,"28,291.44","28,239.28",52.16,"289,890,000",37.01,36.9,0.11,27339390,,,,
13,2019-12-19,18.58,19.41,-0.83,2101700,143.89,145.35,-1.46,9414700,33.87,29.34,4.53,250500,"28,278.31","28,376.96",-98.65,"262,570,000",37.0,36.97,0.03,22022276,,,,
