Date,Total Doses Administered,Daily Increase
2/13/2022,548792878,144101
2/12/2022,548648777,327557
2/11/2022,548321220,582026
2/10/2022,547739194,473174
2/9/2022,547266020,478132
2/8/2022,546787888,471048
2/7/2022,546316840,456914
2/6/2022,545859926,204240
2/5/2022,545655686,417641
2/4/2022,545238045,621107
2/3/2022,544616938,490815
2/2/2022,544126123,537816
2/1/2022,543588307,575091
1/31/2022,543013216,601694
1/30/2022,542411522,254772
1/29/2022,542156750,449149
1/28/2022,541707601,908902
1/27/2022,540798699,751105
1/26/2022,540047594,756284
1/25/2022,539291310,766098
1/24/2022,538525212,763266
1/23/2022,537761946,321536
1/22/2022,537440410,596156
1/21/2022,536844254,1033644
1/20/2022,535810610,896017
1/19/2022,534914593,941823
1/18/2022,533972770,963429
1/17/2022,533009341,803435
1/16/2022,532205906,380910
1/15/2022,531824996,765838
1/14/2022,531059158,1423160
1/13/2022,529635998,1247228
1/12/2022,528388770,1269908
1/11/2022,527118862,1271613
1/10/2022,525847249,1223275
1/9/2022,524623974,485993
1/8/2022,524137981,1020920
1/7/2022,523117061,1593219
1/6/2022,521523842,1420816
1/5/2022,520103026,1408832
1/4/2022,518694194,1380119
1/3/2022,517314075,1210295
1/2/2022,516103780,488237
1/1/2022,515615543,97563
12/31/2021,515517980,594978
12/30/2021,514923002,1494115
12/29/2021,513428887,1636399
12/28/2021,511792488,1654114
12/27/2021,510138374,1496644
12/26/2021,508641730,471835
12/25/2021,508169895,6030
12/24/2021,508163865,374505
12/23/2021,507789360,1431827
12/22/2021,506357533,1825824
12/21/2021,504531709,1931184
12/20/2021,502600525,1805638
12/19/2021,500794887,630766
12/18/2021,500164121,1103764
12/17/2021,499060357,1895951
12/16/2021,497164406,1655961
12/15/2021,495508445,1683600
12/14/2021,493824845,1684917
12/13/2021,492139928,1588822
12/12/2021,490551106,619977
12/11/2021,489931129,1235320
12/10/2021,488695809,2065678
12/9/2021,486630131,1887332
12/8/2021,484742799,1890977
12/7/2021,482851822,1877294
12/6/2021,480974528,1798658
12/5/2021,479175870,717766
12/4/2021,478458104,1458095
12/3/2021,477000009,2397193
12/2/2021,474602816,2126414
12/1/2021,472476402,2111163
11/30/2021,470365239,1894733
11/29/2021,468470506,1639157
11/28/2021,466831349,581027
11/27/2021,466250322,880842
11/26/2021,465369480,1190758
11/25/2021,464178722,25879
11/24/2021,464152843,1366786
11/23/2021,462786057,1768366
11/22/2021,461017691,1790655
11/21/2021,459227036,636763
11/20/2021,458590273,1220366
11/19/2021,457369907,2048985
11/18/2021,455320922,1765917
11/17/2021,453555005,1737867
11/16/2021,451817138,1661984
11/15/2021,450155154,1532187
11/14/2021,448622967,573962
11/13/2021,448049005,1163603
11/12/2021,446885402,1968752
11/11/2021,444916650,1583756
11/10/2021,443332894,1746128
11/9/2021,441586766,1618128
11/8/2021,439968638,1446289
11/7/2021,438522349,550161
11/6/2021,437972188,1024959
11/5/2021,436947229,1889094
11/4/2021,435058135,1616563
11/3/2021,433441572,1541204
11/2/2021,431900368,1484991
11/1/2021,430415377,1437902
10/31/2021,428977475,433637
10/30/2021,428543838,812556
10/29/2021,427731282,1766349
10/28/2021,425964933,1590398
10/27/2021,424374535,1604314
10/26/2021,422770221,1542661
10/25/2021,421227560,1510953
10/24/2021,419716607,469924
10/23/2021,419246683,822609
10/22/2021,418424074,1363086
10/21/2021,417060988,846632
10/20/2021,416214356,824579
10/19/2021,415389777,813020
10/18/2021,414576757,822874
10/17/2021,413753883,267816
10/16/2021,413486067,487623
10/15/2021,412998444,1039533
10/14/2021,411958911,901171
10/13/2021,411057740,893909
10/12/2021,410163831,916103
10/11/2021,409247728,847360
10/10/2021,408400368,311830
10/9/2021,408088538,532309
10/8/2021,407556229,1131807
10/7/2021,406424422,996439
10/6/2021,405427983,1019897
10/5/2021,404408086,1005063
10/4/2021,403403023,973235
10/3/2021,402429788,363889
10/2/2021,402065899,625173
10/1/2021,401440726,1290835
9/30/2021,400149891,1149180
9/29/2021,399000711,1128365
9/28/2021,397872346,1121550
9/27/2021,396750796,1020514
9/26/2021,395730282,406705
9/25/2021,395323577,668095
9/24/2021,394655482,977248
9/23/2021,393678234,670429
9/22/2021,393007805,660828
9/21/2021,392346977,671122
9/20/2021,391675855,684545
9/19/2021,390991310,303737
9/18/2021,390687573,519860
9/17/2021,390167713,898897
9/16/2021,389268816,756750
9/15/2021,388512066,758030
9/14/2021,387754036,746909
9/13/2021,387007127,778201
9/12/2021,386228926,349199
9/11/2021,385879727,595477
9/10/2021,385284250,1030602
9/9/2021,384253648,843846
