Date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake
2019-12-01,46,66,38,20,62,17,55,31,19,0,0,13,0,14,55,29,0,0,31,3,53,2,35,70,2,0,51,19,72,27,31,39,14,74,71,18,30,48,41,7,61,50,68,42,1,0,15,35
2019-12-02,46,77,32,20,79,14,55,30,21,0,11,21,0,17,61,33,0,10,26,4,45,5,49,75,4,0,48,7,69,26,28,39,14,75,71,21,34,47,41,7,81,57,72,44,1,0,15,34
2019-12-03,36,80,41,16,83,16,61,30,22,4,0,39,0,24,75,52,0,5,28,5,34,5,49,85,4,0,54,15,62,28,25,40,15,74,69,23,38,46,40,8,72,53,77,48,1,0,16,35
2019-12-04,44,87,72,16,89,15,66,32,21,8,7,34,0,24,82,75,0,5,31,6,37,3,52,85,4,0,46,8,62,30,26,41,16,75,66,27,41,45,42,9,69,61,77,49,1,0,15,35
2019-12-05,54,80,49,22,92,14,68,29,23,0,4,23,0,25,85,79,0,16,28,4,47,5,55,87,4,0,46,27,69,28,25,40,15,70,67,26,29,46,42,8,70,56,71,45,1,0,15,36
2019-12-06,46,76,25,19,82,12,60,29,19,0,0,37,0,20,46,68,0,16,31,4,25,4,49,83,3,0,44,29,75,27,22,41,17,63,63,10,14,46,31,9,74,47,61,34,1,0,18,37
2019-12-07,36,64,18,26,58,14,56,33,21,0,0,27,0,18,61,100,0,0,34,3,34,2,38,90,4,0,52,38,91,29,23,52,20,67,59,12,17,41,37,9,74,50,58,34,1,0,18,33
2019-12-08,41,65,25,25,59,13,57,31,21,5,4,10,0,15,51,95,0,6,38,2,50,3,35,94,3,0,66,15,69,23,25,46,16,71,62,22,34,47,52,7,72,53,70,41,1,0,16,34
2019-12-09,55,83,33,19,85,15,55,31,23,8,0,40,0,21,100,63,0,0,48,4,28,5,49,87,4,0,47,17,66,27,29,42,16,71,64,24,38,56,40,7,63,56,68,44,1,0,15,34
2019-12-10,38,79,47,19,86,16,60,33,24,4,4,26,0,22,67,49,0,11,35,3,38,5,52,86,4,0,39,15,66,26,29,41,16,72,69,23,41,55,53,7,79,53,77,46,0,0,15,33
2019-12-11,42,77,36,21,84,14,53,32,24,0,4,31,0,26,57,37,0,11,30,4,35,3,55,85,4,0,56,19,62,26,26,41,16,71,64,24,40,47,44,8,69,57,68,41,1,0,15,35
2019-12-12,48,78,27,22,82,15,59,33,23,9,0,26,0,26,52,38,0,5,31,5,45,4,55,100,4,0,41,17,66,24,26,40,14,65,64,22,31,46,38,6,78,52,65,42,1,0,16,36
2019-12-13,50,76,30,16,78,12,57,31,24,9,8,18,0,24,78,37,0,11,25,2,31,3,45,79,4,0,54,21,78,17,24,42,17,60,64,9,15,44,37,9,73,45,53,33,1,0,16,38
