Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake
12/2/19,20.3,19.76,0.54,1184000,137.72,137.36,0.36,4717100,22.66,21.87,0.79,106500,"28,109.74","27,783.04",326.7,"236,610,000",36.8,36.33,0.47,15645998,46,77,32,20,79,14,55,30,21,0,11,21,0,17,61,33,0,10,26,4,45,5,49,75,4,0,48,7,69,26,28,39,14,75,71,21,34,47,41,7,81,57,72,44,1,0,15,34
12/3/19,19.48,21.28,-1.8,1795200,136.91,137.16,-0.25,5741400,22.05,20.77,1.28,88400,"27,501.98","27,502.81",-0.83,"275,350,000",36.02,36.1,-0.09,20869832,36,80,41,16,83,16,61,30,22,4,0,39,0,24,75,52,0,5,28,5,34,5,49,85,4,0,54,15,62,28,25,40,15,74,69,23,38,46,40,8,72,53,77,48,1,0,16,35
12/4/19,21,21.27,-0.27,1980100,138.5,139.38,-0.88,7257300,21.49,21.37,0.12,146500,"27,634.63","27,649.78",-15.15,"218,200,000",36.27,36.19,0.09,14501248,44,87,72,16,89,15,66,32,21,8,7,34,0,24,82,75,0,5,31,6,37,3,52,85,4,0,46,8,62,30,26,41,16,75,66,27,41,45,42,9,69,61,77,49,1,0,15,35
12/5/19,21.49,20.64,0.85,1478100,139.35,139.56,-0.21,5472900,21.75,22.49,-0.74,129900,"27,736.05","27,677.79",58.26,"208,600,000",36.4,36.08,0.32,13098058,54,80,49,22,92,14,68,29,23,0,4,23,0,25,85,79,0,16,28,4,47,5,55,87,4,0,46,27,69,28,25,40,15,70,67,26,29,46,42,8,70,56,71,45,1,0,15,36
12/6/19,20.78,18.94,1.84,3537200,139.46,140.38,-0.92,6640400,22.85,24.37,-1.52,251500,"27,839.68","28,015.06",-175.38,"223,310,000",36.32,36.33,-0.01,12868708,46,76,25,19,82,12,60,29,19,0,0,37,0,20,46,68,0,16,31,4,25,4,49,83,3,0,44,29,75,27,22,41,17,63,63,10,14,46,31,9,74,47,61,34,1,0,18,37
12/9/19,19.07,18.78,0.29,2814000,140.39,140.5,-0.11,4241000,25,29,-4,393900,"27,987.05","27,909.60",77.45,"217,000,000",36.15,36.36,-0.21,15641571,55,83,33,19,85,15,55,31,23,8,0,40,0,21,100,63,0,0,48,4,28,5,49,87,4,0,47,17,66,27,29,42,16,71,64,24,38,56,40,7,63,56,68,44,1,0,15,34
12/10/19,18.78,18.87,-0.09,1619800,140.8,139.99,0.81,5310300,29,28,1,180200,"27,900.65","27,881.72",18.93,"213,250,000",36.31,36.51,-0.2,19171311,38,79,47,19,86,16,60,33,24,4,4,26,0,22,67,49,0,11,35,3,38,5,52,86,4,0,39,15,66,26,29,41,16,72,69,23,41,55,53,7,79,53,77,46,0,0,15,33
12/11/19,19.03,18.65,0.38,1233100,140.93,140.98,-0.05,6631500,28.7,31.3,-2.6,205200,"27,867.31","27,911.30",-43.99,"213,510,000",36.4,36.26,0.14,15569372,42,77,36,21,84,14,53,32,24,0,4,31,0,26,57,37,0,11,30,4,35,3,55,85,4,0,56,19,62,26,26,41,16,71,64,24,40,47,44,8,69,57,68,41,1,0,15,35
12/12/19,18.56,18.45,0.11,1313400,141.32,141.34,-0.02,5012400,32.7,29.84,2.86,380900,"27,898.34","28,132.05",-233.71,"277,740,000",36.21,36.57,-0.35,13414469,48,78,27,22,82,15,59,33,23,9,0,26,0,26,52,38,0,5,31,5,45,4,55,100,4,0,41,17,66,24,26,40,14,65,64,22,31,46,38,6,78,52,65,42,1,0,16,36
12/13/19,18.47,18.62,-0.15,1302400,141.1,141.38,-0.28,4257200,32.15,32.45,-0.3,232700,"28,123.64","28,135.38",-11.74,"250,660,000",36.55,36.37,0.18,16678496,50,76,30,16,78,12,57,31,24,9,8,18,0,24,78,37,0,11,25,2,31,3,45,79,4,0,54,21,78,17,24,42,17,60,64,9,15,44,37,9,73,45,53,33,1,0,16,38
12/16/19,18.6,18.52,0.08,1785500,141.73,141.79,-0.06,5353100,38.44,35,3.44,622900,"28,191.67","28,235.89",-44.22,"286,770,000",36.72,37.13,-0.42,24187824,48,77,30,17,82,17,56,37,29,4,4,46,0,30,49,24,0,5,31,3,34,4,49,82,3,0,55,19,66,31,27,42,18,70,67,21,36,47,36,8,69,53,67,42,1,0,15,37
